deck,model_id,corner,ccell_ff,k_couple,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
3D_gaa_Si_ff_couple_20ff_k05.sp,3D_gaa_Si,ff,20.0,0.05,,,,,
3D_gaa_Si_ff_couple_20ff_k10.sp,3D_gaa_Si,ff,20.0,0.1,,,,,
3D_gaa_Si_ff_couple_20ff_k15.sp,3D_gaa_Si,ff,20.0,0.15,,,,,
BCAT_125_ff_couple_20ff_k00.sp,BCAT_125,ff,20.0,0.0,,,,,
BCAT_125_ff_couple_20ff_k05.sp,BCAT_125,ff,20.0,0.05,,,,,
BCAT_125_ff_couple_20ff_k10.sp,BCAT_125,ff,20.0,0.1,,,,,
BCAT_125_ff_couple_20ff_k15.sp,BCAT_125,ff,20.0,0.15,,,,,
VCT_082_ff_couple_20ff_k00.sp,VCT_082,ff,20.0,0.0,,,,,
VCT_082_ff_couple_20ff_k05.sp,VCT_082,ff,20.0,0.05,,,,,
VCT_082_ff_couple_20ff_k10.sp,VCT_082,ff,20.0,0.1,,,,,
VCT_082_ff_couple_20ff_k15.sp,VCT_082,ff,20.0,0.15,,,,,
VCT_091_ff_couple_20ff_k00.sp,VCT_091,ff,20.0,0.0,,,,,
VCT_091_ff_couple_20ff_k05.sp,VCT_091,ff,20.0,0.05,,,,,
VCT_091_ff_couple_20ff_k10.sp,VCT_091,ff,20.0,0.1,,,,,
VCT_091_ff_couple_20ff_k15.sp,VCT_091,ff,20.0,0.15,,,,,
VCT_102_ff_couple_20ff_k00.sp,VCT_102,ff,20.0,0.0,,,,,
VCT_102_ff_couple_20ff_k05.sp,VCT_102,ff,20.0,0.05,,,,,
VCT_102_ff_couple_20ff_k10.sp,VCT_102,ff,20.0,0.1,,,,,
VCT_102_ff_couple_20ff_k15.sp,VCT_102,ff,20.0,0.15,,,,,
VCT_125_ff_couple_20ff_k00.sp,VCT_125,ff,20.0,0.0,,,,,
VCT_125_ff_couple_20ff_k05.sp,VCT_125,ff,20.0,0.05,,,,,
VCT_125_ff_couple_20ff_k10.sp,VCT_125,ff,20.0,0.1,,,,,
VCT_125_ff_couple_20ff_k15.sp,VCT_125,ff,20.0,0.15,,,,,
3D_gaa_AOS_ss_couple_20ff_k00.sp,3D_gaa_AOS,ss,20.0,0.0,,,,,
3D_gaa_AOS_ss_couple_20ff_k05.sp,3D_gaa_AOS,ss,20.0,0.05,,,,,
3D_gaa_AOS_ss_couple_20ff_k10.sp,3D_gaa_AOS,ss,20.0,0.1,,,,,
3D_gaa_AOS_ss_couple_20ff_k15.sp,3D_gaa_AOS,ss,20.0,0.15,,,,,
3D_gaa_Si_ss_couple_20ff_k00.sp,3D_gaa_Si,ss,20.0,0.0,,,,,
3D_gaa_Si_ss_couple_20ff_k05.sp,3D_gaa_Si,ss,20.0,0.05,,,,,
3D_gaa_Si_ss_couple_20ff_k10.sp,3D_gaa_Si,ss,20.0,0.1,,,,,
3D_gaa_Si_ss_couple_20ff_k15.sp,3D_gaa_Si,ss,20.0,0.15,,,,,
BCAT_125_ss_couple_20ff_k00.sp,BCAT_125,ss,20.0,0.0,,,,,
BCAT_125_ss_couple_20ff_k05.sp,BCAT_125,ss,20.0,0.05,,,,,
BCAT_125_ss_couple_20ff_k10.sp,BCAT_125,ss,20.0,0.1,,,,,
BCAT_125_ss_couple_20ff_k15.sp,BCAT_125,ss,20.0,0.15,,,,,
VCT_082_ss_couple_20ff_k00.sp,VCT_082,ss,20.0,0.0,,,,,
VCT_082_ss_couple_20ff_k05.sp,VCT_082,ss,20.0,0.05,,,,,
VCT_082_ss_couple_20ff_k10.sp,VCT_082,ss,20.0,0.1,,,,,
VCT_082_ss_couple_20ff_k15.sp,VCT_082,ss,20.0,0.15,,,,,
VCT_091_ss_couple_20ff_k00.sp,VCT_091,ss,20.0,0.0,,,,,
VCT_091_ss_couple_20ff_k05.sp,VCT_091,ss,20.0,0.05,,,,,
VCT_091_ss_couple_20ff_k10.sp,VCT_091,ss,20.0,0.1,,,,,
VCT_091_ss_couple_20ff_k15.sp,VCT_091,ss,20.0,0.15,,,,,
VCT_102_ss_couple_20ff_k00.sp,VCT_102,ss,20.0,0.0,,,,,
VCT_102_ss_couple_20ff_k05.sp,VCT_102,ss,20.0,0.05,,,,,
VCT_102_ss_couple_20ff_k10.sp,VCT_102,ss,20.0,0.1,,,,,
VCT_102_ss_couple_20ff_k15.sp,VCT_102,ss,20.0,0.15,,,,,
VCT_125_ss_couple_20ff_k00.sp,VCT_125,ss,20.0,0.0,,,,,
VCT_125_ss_couple_20ff_k05.sp,VCT_125,ss,20.0,0.05,,,,,
VCT_125_ss_couple_20ff_k10.sp,VCT_125,ss,20.0,0.1,,,,,
VCT_125_ss_couple_20ff_k15.sp,VCT_125,ss,20.0,0.15,,,,,
