deck,model_id,corner,ccell_ff,vbl_pre_fraction,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
3D_gaa_AOS_ss_read_30ff_vbl40.sp,3D_gaa_AOS,ss,30.0,0.4,,,,,
3D_gaa_AOS_ss_read_30ff_vbl45.sp,3D_gaa_AOS,ss,30.0,0.45,,,,,
3D_gaa_AOS_ss_read_30ff_vbl50.sp,3D_gaa_AOS,ss,30.0,0.5,,,,,
3D_gaa_Si_ss_read_10ff_vbl40.sp,3D_gaa_Si,ss,10.0,0.4,,,,,
3D_gaa_Si_ss_read_10ff_vbl45.sp,3D_gaa_Si,ss,10.0,0.45,,,,,
3D_gaa_Si_ss_read_10ff_vbl50.sp,3D_gaa_Si,ss,10.0,0.5,,,,,
3D_gaa_Si_ss_read_15ff_vbl40.sp,3D_gaa_Si,ss,15.0,0.4,,,,,
3D_gaa_Si_ss_read_15ff_vbl45.sp,3D_gaa_Si,ss,15.0,0.45,,,,,
3D_gaa_Si_ss_read_15ff_vbl50.sp,3D_gaa_Si,ss,15.0,0.5,,,,,
3D_gaa_Si_ss_read_20ff_vbl40.sp,3D_gaa_Si,ss,20.0,0.4,,,,,
3D_gaa_Si_ss_read_20ff_vbl45.sp,3D_gaa_Si,ss,20.0,0.45,,,,,
3D_gaa_Si_ss_read_20ff_vbl50.sp,3D_gaa_Si,ss,20.0,0.5,,,,,
3D_gaa_Si_ss_read_30ff_vbl40.sp,3D_gaa_Si,ss,30.0,0.4,,,,,
3D_gaa_Si_ss_read_30ff_vbl45.sp,3D_gaa_Si,ss,30.0,0.45,,,,,
3D_gaa_Si_ss_read_30ff_vbl50.sp,3D_gaa_Si,ss,30.0,0.5,,,,,
BCAT_125_ss_read_10ff_vbl40.sp,BCAT_125,ss,10.0,0.4,,,,,
BCAT_125_ss_read_10ff_vbl45.sp,BCAT_125,ss,10.0,0.45,,,,,
BCAT_125_ss_read_10ff_vbl50.sp,BCAT_125,ss,10.0,0.5,,,,,
BCAT_125_ss_read_15ff_vbl40.sp,BCAT_125,ss,15.0,0.4,,,,,
BCAT_125_ss_read_15ff_vbl45.sp,BCAT_125,ss,15.0,0.45,,,,,
BCAT_125_ss_read_15ff_vbl50.sp,BCAT_125,ss,15.0,0.5,,,,,
BCAT_125_ss_read_20ff_vbl40.sp,BCAT_125,ss,20.0,0.4,,,,,
BCAT_125_ss_read_20ff_vbl45.sp,BCAT_125,ss,20.0,0.45,,,,,
BCAT_125_ss_read_20ff_vbl50.sp,BCAT_125,ss,20.0,0.5,,,,,
BCAT_125_ss_read_30ff_vbl40.sp,BCAT_125,ss,30.0,0.4,,,,,
BCAT_125_ss_read_30ff_vbl45.sp,BCAT_125,ss,30.0,0.45,,,,,
BCAT_125_ss_read_30ff_vbl50.sp,BCAT_125,ss,30.0,0.5,,,,,
VCT_082_ss_read_10ff_vbl40.sp,VCT_082,ss,10.0,0.4,,,,,
VCT_082_ss_read_10ff_vbl45.sp,VCT_082,ss,10.0,0.45,,,,,
VCT_082_ss_read_10ff_vbl50.sp,VCT_082,ss,10.0,0.5,,,,,
VCT_082_ss_read_15ff_vbl40.sp,VCT_082,ss,15.0,0.4,,,,,
VCT_082_ss_read_15ff_vbl45.sp,VCT_082,ss,15.0,0.45,,,,,
VCT_082_ss_read_15ff_vbl50.sp,VCT_082,ss,15.0,0.5,,,,,
VCT_082_ss_read_20ff_vbl40.sp,VCT_082,ss,20.0,0.4,,,,,
VCT_082_ss_read_20ff_vbl45.sp,VCT_082,ss,20.0,0.45,,,,,
VCT_082_ss_read_20ff_vbl50.sp,VCT_082,ss,20.0,0.5,,,,,
VCT_082_ss_read_30ff_vbl40.sp,VCT_082,ss,30.0,0.4,,,,,
VCT_082_ss_read_30ff_vbl45.sp,VCT_082,ss,30.0,0.45,,,,,
VCT_082_ss_read_30ff_vbl50.sp,VCT_082,ss,30.0,0.5,,,,,
VCT_091_ss_read_10ff_vbl40.sp,VCT_091,ss,10.0,0.4,,,,,
VCT_091_ss_read_10ff_vbl45.sp,VCT_091,ss,10.0,0.45,,,,,
VCT_091_ss_read_10ff_vbl50.sp,VCT_091,ss,10.0,0.5,,,,,
VCT_091_ss_read_15ff_vbl40.sp,VCT_091,ss,15.0,0.4,,,,,
VCT_091_ss_read_15ff_vbl45.sp,VCT_091,ss,15.0,0.45,,,,,
VCT_091_ss_read_15ff_vbl50.sp,VCT_091,ss,15.0,0.5,,,,,
VCT_091_ss_read_20ff_vbl40.sp,VCT_091,ss,20.0,0.4,,,,,
VCT_091_ss_read_20ff_vbl45.sp,VCT_091,ss,20.0,0.45,,,,,
VCT_091_ss_read_20ff_vbl50.sp,VCT_091,ss,20.0,0.5,,,,,
VCT_091_ss_read_30ff_vbl40.sp,VCT_091,ss,30.0,0.4,,,,,
VCT_091_ss_read_30ff_vbl45.sp,VCT_091,ss,30.0,0.45,,,,,
VCT_091_ss_read_30ff_vbl50.sp,VCT_091,ss,30.0,0.5,,,,,
VCT_102_ss_read_10ff_vbl40.sp,VCT_102,ss,10.0,0.4,,,,,
VCT_102_ss_read_10ff_vbl45.sp,VCT_102,ss,10.0,0.45,,,,,
VCT_102_ss_read_10ff_vbl50.sp,VCT_102,ss,10.0,0.5,,,,,
VCT_102_ss_read_15ff_vbl40.sp,VCT_102,ss,15.0,0.4,,,,,
VCT_102_ss_read_15ff_vbl45.sp,VCT_102,ss,15.0,0.45,,,,,
VCT_102_ss_read_15ff_vbl50.sp,VCT_102,ss,15.0,0.5,,,,,
VCT_102_ss_read_20ff_vbl40.sp,VCT_102,ss,20.0,0.4,,,,,
VCT_102_ss_read_20ff_vbl45.sp,VCT_102,ss,20.0,0.45,,,,,
VCT_102_ss_read_20ff_vbl50.sp,VCT_102,ss,20.0,0.5,,,,,
VCT_102_ss_read_30ff_vbl40.sp,VCT_102,ss,30.0,0.4,,,,,
VCT_102_ss_read_30ff_vbl45.sp,VCT_102,ss,30.0,0.45,,,,,
VCT_102_ss_read_30ff_vbl50.sp,VCT_102,ss,30.0,0.5,,,,,
VCT_125_ss_read_10ff_vbl40.sp,VCT_125,ss,10.0,0.4,,,,,
VCT_125_ss_read_10ff_vbl45.sp,VCT_125,ss,10.0,0.45,,,,,
VCT_125_ss_read_10ff_vbl50.sp,VCT_125,ss,10.0,0.5,,,,,
VCT_125_ss_read_15ff_vbl40.sp,VCT_125,ss,15.0,0.4,,,,,
VCT_125_ss_read_15ff_vbl45.sp,VCT_125,ss,15.0,0.45,,,,,
VCT_125_ss_read_15ff_vbl50.sp,VCT_125,ss,15.0,0.5,,,,,
VCT_125_ss_read_20ff_vbl40.sp,VCT_125,ss,20.0,0.4,,,,,
VCT_125_ss_read_20ff_vbl45.sp,VCT_125,ss,20.0,0.45,,,,,
VCT_125_ss_read_20ff_vbl50.sp,VCT_125,ss,20.0,0.5,,,,,
VCT_125_ss_read_30ff_vbl40.sp,VCT_125,ss,30.0,0.4,,,,,
VCT_125_ss_read_30ff_vbl45.sp,VCT_125,ss,30.0,0.45,,,,,
VCT_125_ss_read_30ff_vbl50.sp,VCT_125,ss,30.0,0.5,,,,,
